Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
55215,Text,28/07/2017,Cuando la tierra era niña,es,"Hawthorne, Nathaniel, 1804-1864; Milà i Fontanals, Pau, 1810-1883 [Illustrator]; Martínez Sierra, Gregorio, 1881-1947 [Translator]","Mythology, Greek; Mythology, Greek -- Juvenile literature",BL; PZ,
55224,Text,29/07/2017,"The American Missionary — Volume 34, No. 7, July, 1880",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55228,Text,30/07/2017,"Notes on the New Testament, Explanatory and Practical: Revelation",en,"Barnes, Albert, 1798-1870; Frew, Robert, 1812-1910 [Editor]",Bible. Revelation -- Commentaries; Bible. New Testament -- Commentaries,BS,
55230,Text,30/07/2017,"The Day After Death; Or, Our Future Life According to Science (New Edition)",en,"Figuier, Louis, 1819-1894",Cosmology; Future life; Transmigration,BT,
55262,Text,04/08/2017,Psychology: Briefer Course,en,"James, William, 1842-1910",Psychology,BF,
55273,Text,06/08/2017,"The American Missionary — Volume 35, No. 2, February, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55317,Text,09/08/2017,"The Meditations of the Emperor Marcus Aurelius Antoninus
A new rendering based on the Foulis translation of 1742",en,"Marcus Aurelius, Emperor of Rome, 121-180; Chrystal, George W. (George William), 1880-1944 [Translator]",Stoics; Ethics; Life,B; PA,
55330,Text,10/08/2017,A Biography of Rev. Henry Ward Beecher,en,"Beecher, H. W., Mrs., 1813-1897; Beecher, William Constantine, 1849-; Scoville, Samuel, 1872-","Beecher, Henry Ward, 1813-1887",BX,
55365,Text,16/08/2017,"The American Missionary — Volume 35, No. 4, April, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55384,Text,19/08/2017,"The American Missionary — Volume 34, No. 3, March, 1880",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55385,Text,19/08/2017,"The American Missionary — Volume 35, No. 3, March 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55393,Text,20/08/2017,Astrologian järjellinen perusta. Lisäys: Lasten kasvatus astrologian valossa,fi,"Barley, Alfred H.; Leo, Alan",Astrology,BF,
55410,Text,22/08/2017,Henkimaailman salaisuuksia,fi,"Schöldström, Birger, 1840-1910",Spiritualism,BF,
55433,Text,26/08/2017,"The American Missionary — Volume 34, No. 8, August, 1880",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55438,Text,27/08/2017,Olavi Maununpoika Pariisissa ja Suomalaisten opinkäynti ulkomailla keski-aialla,fi,"Yrjö-Koskinen, Yrjö Sakari, 1830-1903","Olaus, Magnus, Archbishop of Uppsala, 1490-1557; Finnish students -- France -- Paris -- History",BX; LF,
55466,Text,31/08/2017,Die selige Christina von Stommeln,de,"Steffens, Arnold","Christina, von Stommeln, 1242-1312",BX,
55483,Text,04/09/2017,"Condillac: sa vie, sa philosophie, son influence",fr,"Baguenault de Puchesse, Gustave, comte, 1843-1922","Condillac, Etienne Bonnot de, 1714-1780",B,"FR Philosophie, Religion et Morale; FR Biographie, Mémoires, Journal intime, Correspondance"
55486,Text,04/09/2017,"The American Missionary — Volume 35, No. 5, May, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55494,Text,06/09/2017,"John Chambers, Servant of Christ and Master of Hearts, and His Ministry in Philadelphia",en,"Griffis, William Elliot, 1843-1928","Chambers, John, 1797-1875",BX,
55508,Text,08/09/2017,"Miller's Mind training for children Book 2 (of 3)
A practical training for successful living; Educational games that train the senses",en,"Miller, William Emer",Mnemonics; Senses and sensation,BF,
55509,Text,08/09/2017,"Miller's Mind training for children Book 3 (of 3)
A practical training for successful living; Educational games that train the senses",en,"Miller, William Emer",Mnemonics; Senses and sensation,BF,
55531,Text,12/09/2017,"Common Sense Applied to Religion; Or, The Bible and the People",en,"Beecher, Catharine Esther, 1800-1878",Religion -- Philosophy,BL,
55542,Text,13/09/2017,"Den äkta gentlemannen
eller grundsatser och reglor för god ton och sannt lefnadsvett i umgängeslifvets särskilda förhållanden",sv,"Wenzel, J. G.",Etiquette,BJ,
55547,Text,14/09/2017,"Die Christliche Taufe
im Lichte der hl. Schrift und der Geschichte von der Zeit ihrer Entstehung bis auf die Gegenwart",de,"Seefried, Johannes, 1881-1956",Baptism,BV,
55551,Text,15/09/2017,"The American Missionary — Volume 35, No. 6, June, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55575,Text,18/09/2017,"The Historical Christ;
Or, An investigation of the views of Mr. J. M. Robertson, Dr. A. Drews, and Prof. W. B. Smith",en,"Conybeare, F. C. (Frederick Cornwallis), 1856-1924","Jesus Christ -- Biography -- History and criticism; Robertson, J. M. (John Mackinnon), 1856-1933; Drews, Arthur, 1865-1935; Smith, William Benjamin, 1850-1934",BT,
55612,Text,24/09/2017,"The American Missionary — Volume 35, No. 7, July, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55613,Text,24/09/2017,"The American Missionary — Volume 35, No. 8, August, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
55618,Text,24/09/2017,"The Key to Theosophy
Being a Clear Exposition, in the Form of Question and Answer, of the Ethics, Science and Philosophy for the Study of Which the Theosophical Society Has Been Founded",en,"Blavatsky, H. P. (Helena Petrovna), 1831-1891",Theosophy,BP,
55628,Text,26/09/2017,"Dealings with the Inquisition; Or, Papal Rome, Her Priests, and Her Jesuits",en,"Achilli, Giacinto, 1803-",Catholic Church -- Controversial literature; Inquisition,BX,
55665,Text,02/10/2017,Clergymen of the Church of England,en,"Trollope, Anthony, 1815-1882",Church of England -- Clergy,BX,
55680,Text,05/10/2017,"Transmission; or, Variation of Character Through the Mother",en,"Kirby, Georgiana Bruce, 1818-1887","Heredity, Human",BF,
55687,Text,06/10/2017,The Initiates of the Flame,en,"Hall, Manly P. (Manly Palmer), 1901-1990",Occultism; Symbolism,BF,
55692,Text,07/10/2017,The Surgery of Ritual Circumcision,en,"Snowman, Jacob, 1871-",Circumcision,BM; RJ,
55701,Text,08/10/2017,Under Many Flags,en,"Cronk, Katharine Scherer, 1877-; Singmaster, Elsie, 1879-1958",Missionaries; Missions,BV,
55743,Text,13/10/2017,How to Succeed in the Christian Life,en,"Torrey, R. A. (Reuben Archer), 1856-1928",Christian life -- Congregational authors,BV,
55761,Text,16/10/2017,"The Philosophy of Spiritual Activity
A Modern Philosophy of Life Developed by Scientific Methods",en,"Steiner, Rudolf, 1861-1925; Collison, Harry [Editor]; Hoernlé, Reinhold Friedrich Alfred, 1880-1943 [Translator]; Hoernlé, Winifred, 1885-1960 [Translator]","Knowledge, Theory of; Anthroposophy; Life; Free will and determinism",BD,
